,tweets,id,len,date,source,likes,retweets
0,QBE’s 2019 Annual General Meeting is underway in Sydney. Watch live on the web at https://t.co/qioe8dmMqH https://t.co/fcOML6Vl3i,1126288415920730118,129,2019-05-09 00:50:58,Sprinklr,2,2
1,QBE's 2019 Annual General Meeting will be held this Thursday at 10am. For details or to register for a live broadca… https://t.co/NUmcaKHcEZ,1125544405962776582,140,2019-05-06 23:34:32,Sprinklr,3,2
2,"The QBE Foundation is proud to continue our partnerships with R U OK?, Foodbank, Mission Australia, KidsCan New Zea… https://t.co/0iLRHYyEp5",1115804092679557120,140,2019-04-10 02:30:00,Sprinklr,10,2
3,We’re pleased to join the @SustBusinessAus along with other forward-thinking companies who are committed to a more… https://t.co/A0PL1OPgVT,1115791636129296391,139,2019-04-10 01:40:31,Sprinklr,5,1
4,"RT @SustBusinessAus: Welcome to our newest member, @QBE Insurance! This news follows the company’s recent commitment to phase out insurance…",1115784684275949568,140,2019-04-10 01:12:53,Sprinklr,0,4
5,"By 2030 at the latest, QBE will phase out all direct insurance services for thermal coal customers. Read more about… https://t.co/kYKffRotdx",1111815040498315266,140,2019-03-30 02:18:56,Sprinklr,16,8
6,"QBE is pleased to be part of the Australian Sustainable Finance Initiative, which has launched today. ASFI is an un… https://t.co/J7LSjFWE8Y",1110662461353615360,140,2019-03-26 21:59:00,Sprinklr,11,1
7,"Leveraging enhanced data and analytics capabilities, technology roadmap and leading Insurtech partnerships is part… https://t.co/QATxIRz9t0",1103450792093249536,139,2019-03-07 00:22:24,Sprinklr,5,2
8,"QBE Group CEO, Pat Regan, explains how the progress we made against the seven strategic priorities we set for ourse… https://t.co/AkYzFjfNR3",1102350492947136512,140,2019-03-03 23:30:12,Sprinklr,3,3
9,"In 2018, we undertook a significant program of change to create a stronger and simpler QBE. Group CEO, Pat Regan, e… https://t.co/3csdHB3Sk4",1100538552549625856,140,2019-02-26 23:30:12,Sprinklr,12,5
10,"QBE Group CEO, Pat Regan, discusses QBE’s 2018 full year results, which were released today. You can read more abou… https://t.co/m207Ja7Mbj",1099861845677146114,140,2019-02-25 02:41:13,Sprinklr,16,3
11,"@alan_in_oz Hi Alan, we've checked in on this and been advised the line dropped out. As you have called on a privat… https://t.co/eduZRGmgcs",1098084181962297345,140,2019-02-20 04:57:25,Sprinklr,0,0
12,"QBE has announced a $100,000 donation to the @RedCrossAU to provide relief to flood-affected North Queensland, alon… https://t.co/xewwJiqarO",1097624304550846464,140,2019-02-18 22:30:01,Sprinklr,4,0
13,"QBE has announced a $100,000 donation to the @RedCrossAU to provide relief to flood-affected communities in North Q… https://t.co/aJ2tm2xCNo",1097358303024332801,140,2019-02-18 04:53:02,Sprinklr,3,2
14,We’re excited to announce our new Premiums4Good target of growing our impact investments to US$1bn by 2021. We aim… https://t.co/4CzjdZtZqa,1086100992016437250,139,2019-01-18 03:20:29,Sprinklr,7,5
15,We’re so proud to be listed on the 2019 @Bloomberg Gender-Equality Index! We’re one of 230 companies globally (and… https://t.co/XjV2bPIAxE,1085673054800433152,139,2019-01-16 23:00:01,Sprinklr,8,5
16,QBE Australia Pacific CEO Vivek Bhatia sat down with Insurance News to talk about the next stage of QBE’s transform… https://t.co/Ro0ZitOESR,1084976585231515650,140,2019-01-15 00:52:30,Sprinklr,3,0
17,"@martinwalsh Hi Martin, this issue has now been resolved ~BLS",1071892703481339904,61,2018-12-09 22:21:49,Sprinklr,0,0
18,We're pleased to announce QBE New Zealand have been recognised as the Intermediated Insurance Company of the Year a… https://t.co/KV3OmKFxcA,1068363234347020294,140,2018-11-30 04:36:58,Sprinklr,8,4
19,"@NeilAckland Hi Neil, thanks for your message. This claim portal is maintained by ANZ, and appears to be back up an… https://t.co/wRGN2aT0YV",1067917558823694337,140,2018-11-28 23:06:01,Sprinklr,0,0
20,Climate risk is a priority issue for QBE and we support the strong framework provided by the @FSB_TCFD for enhancin… https://t.co/wFwCVnFGio,1062466303221473282,140,2018-11-13 22:04:41,Sprinklr,9,4
21,QBE’s #Premiums4Good has been recognised as a “leading example of how large institutional investors can have a subs… https://t.co/0m8aHGiWUO,1060355351676108800,140,2018-11-08 02:16:30,Sprinklr,12,3
22,"QBE’s small and medium sized business customers could soon benefit from a virtual ‘Cybersecurity Officer’, thanks t… https://t.co/aMctv6r955",1059595458463653888,140,2018-11-05 23:56:58,Sprinklr,6,1
23,QBE’s Premiums4Good was a finalist in the Accounting4Sustainability/ICAEW Finance for the Future Awards 2018. From… https://t.co/OHRxThB0dv,1052364372381708288,139,2018-10-17 01:03:13,Sprinklr,12,2
24,Congratulations to the winners of @quesnayinc Female Founders in InsurTech competition - @vivametrica @christyclane… https://t.co/iaHSLanxYR,1049067346852290567,140,2018-10-07 22:42:00,Sprinklr,0,0
25,"We’re pleased to share that QBE Insurance has ranked in the 2018 Gender Equality Global Report by @equileap, making… https://t.co/e4Mb2KW6oN",1048004627650596865,140,2018-10-05 00:19:08,Twitter Web Client,7,3
26,@mohitruhil CTP refund cheques can take up to 10 days to arrive. If you can DM us your details we can look into this ~BLS,1040381591753777152,121,2018-09-13 23:27:55,Sprinklr,0,0
27,"Congratulations to the finalists of @QuesnayInc Female Founders in #InsurTech competition - @adaptready, Dreyev… https://t.co/zcHNY4vZUU",1034938749442916357,136,2018-08-29 23:00:00,Sprinklr,12,1
28,"QBE Insurance Group Limited yesterday announced its partnership with Jupiter, an emerging leader in predicting and… https://t.co/REExjrLvMf",1030267591082881029,139,2018-08-17 01:38:29,Sprinklr,7,3
29,"@EdithAguilar Hi Edith, we can take a look into this for you if you can DM us your claim and contact number ~BLS",1022260679036874759,112,2018-07-25 23:21:53,Sprinklr,0,0
